year,city,spend_per_resident_data,pct_near_park_points
2017,Fort Worth,78,16
2017,Houston,35,12
2017,Newark,26,35
2017,Wichita,51,13
2017,Memphis,54,8
2017,Irving,59,17
2017,Lubbock,46,15
2017,Tucson,71,17
2017,Oklahoma City,72,9
2017,Baton Rouge,51,13
2017,Fresno,38,19
2017,Hialeah,38,19
2017,Jacksonville,33,3
2017,Laredo,66,12
2017,Winston-Salem,42,5
2017,Mesa,69,20
2017,Louisville,50,4
2017,Charlotte,45,1
2017,Fort Wayne,79,10
2017,Indianapolis,35,3
2016,Minneapolis,224,39
2016,St. Paul,212,39
2016,"Washington, D.C.",287,40
2016,"Arlington, Virginia",235,40
2016,San Francisco,223,40
2016,Portland,154,33
2016,New York,186,40
2016,Irvine,227,27
2016,Boston,122,40
2016,Cincinnati,181,25
2016,Madison,122,35
2016,San Diego,113,29
2016,Seattle,275,37
2016,Oakland,143,33
2016,Chicago,172,37
2016,Aurora,132,33
2016,Sacramento,148,29
2016,Plano,125,27
2016,St. Petersburg,132,26
2016,Albuquerque,59,31
2016,Denver,109,33
2016,Long Beach,186,30
2016,Philadelphia,65,37
2016,St. Louis,151,36
2016,Henderson,178,13
2016,Omaha,74,29
2016,Fremont,121,20
2016,Honolulu,50,32
2016,Lincoln,86,33
2016,Milwaukee,89,34
2016,Anchorage,77,25
2016,Las Vegas,133,24
2016,San Jose,131,25
2016,Virginia Beach,171,18
2016,North Las Vegas,145,18
2016,Jersey City,29,36
2016,Kansas City,120,22
2016,Raleigh,163,15
2016,Pittsburgh,64,32
2016,Tampa,153,19
2016,New Orleans,90,28
2016,Scottsdale,116,6
2016,Boise,103,19
2016,Cleveland,97,30
2016,Colorado Springs,58,24
2016,Norfolk,73,25
2016,Austin,92,12
2016,Richmond,77,27
2016,Baltimore,71,33
2016,Phoenix,88,11
2016,Atlanta,120,22
2016,Buffalo,52,33
2016,Miami,88,30
2016,Dallas,63,18
2016,Glendale,39,26
2016,Nashville,90,7
2016,Orlando,119,18
2016,"Arlington, Texas",90,16
2016,Riverside,70,11
2016,Chesapeake,68,7
2016,Corpus Christi,64,26
2016,Garland,69,17
2016,Lexington,82,14
2016,Tulsa,53,16
2016,Anaheim,65,19
2016,Columbus,89,14
2016,Durham,82,12
2016,Los Angeles,80,16
2016,Greensboro,68,18
2016,Toledo,45,28
2016,Bakersfield,84,9
2016,Chandler,67,16
2016,Reno,50,25
2016,San Antonio,95,6
2016,Detroit,15,29
2016,El Paso,36,13
2016,Newark,36,36
2016,Chula Vista,42,14
2016,Fort Worth,81,16
2016,Houston,37,12
2016,Wichita,47,14
2016,Stockton,15,25
2016,Santa Ana,44,25
2016,Tucson,81,17
2016,Irving,59,17
2016,Memphis,53,9
2016,Lubbock,45,15
2016,Baton Rouge,49,13
2016,Jacksonville,32,3
2016,Oklahoma City,54,9
2016,Hialeah,34,20
2016,Mesa,70,21
2016,Louisville,55,4
2016,Winston-Salem,44,5
2016,Charlotte,44,1
2016,Indianapolis,26,4
2016,Fresno,33,15
2016,Fort Wayne,70,9
2015,Minneapolis,224,38
2015,St. Paul,210,40
2015,"Washington, D.C.",343,40
2015,San Francisco,229,40
2015,New York,172,40
2015,Portland,145,34
2015,Cincinnati,203,26
2015,Boston,118,40
2015,San Diego,108,30
2015,Seattle,265,38
2015,Oakland,144,34
2015,Chicago,167,38
2015,Albuquerque,68,32
2015,Aurora,127,34
2015,Sacramento,147,30
2015,Denver,117,34
2015,Plano,125,28
2015,Long Beach,162,32
2015,Henderson,191,16
2015,Omaha,74,30
2015,Philadelphia,61,38
2015,Honolulu,46,34
2015,Milwaukee,86,36
2015,Anchorage,74,26
2015,Lincoln,89,34
2015,Pittsburgh,82,34
2015,Raleigh,157,18
2015,Virginia Beach,157,20
2015,Kansas City,116,24
2015,San Jose,128,26
2015,Austin,83,16
2015,Jersey City,24,36
2015,New Orleans,84,30
2015,Tampa,127,22
2015,Las Vegas,163,20
2015,St. Louis,101,34
2015,Phoenix,98,14
2015,Cleveland,91,30
2015,Colorado Springs,51,26
2015,Baltimore,62,34
2015,Buffalo,56,34
2015,Miami,91,30
2015,Riverside,88,14
2015,Dallas,62,20
2015,Corpus Christi,59,28
2015,Greensboro,72,22
2015,Tulsa,43,20
2015,"Arlington, Texas",86,18
2015,Atlanta,98,24
2015,Bakersfield,96,12
2015,Anaheim,65,22
2015,Lexington,74,16
2015,Los Angeles,68,18
2015,Nashville,73,8
2015,El Paso,36,16
2015,Toledo,44,30
2015,Columbus,76,16
2015,Chula Vista,40,18
2015,Houston,38,16
2015,Detroit,19,30
2015,Fort Worth,83,18
2015,San Antonio,100,6
2015,Newark,41,36
2015,Stockton,21,26
2015,Tucson,93,20
2015,Wichita,47,16
2015,Memphis,57,10
2015,Jacksonville,35,6
2015,Santa Ana,42,26
2015,Mesa,72,24
2015,Oklahoma City,56,12
2015,Louisville,51,6
2015,Indianapolis,27,6
2015,Charlotte,51,2
2015,Fresno,39,18
2014,Minneapolis,214,38
2014,New York,171,40
2014,Boston,112,40
2014,Portland,155,34
2014,San Francisco,216,40
2014,"Washington, DC",353,40
2014,Denver,125,34
2014,Sacramento,166,30
2014,San Diego,110,30
2014,Aurora,125,34
2014,Virginia Beach,154,20
2014,Omaha,64,30
2014,Oakland,141,34
2014,Seattle,257,38
2014,Albuquerque,63,32
2014,Chicago,154,36
2014,Kansas City,121,24
2014,New Orleans,104,28
2014,San Jose,124,26
2014,Philadelphia,61,38
2014,Raleigh,155,18
2014,Milwaukee,75,34
2014,Colorado Springs,50,26
2014,Long Beach,147,30
2014,Baltimore,62,34
2014,Cleveland,88,30
2014,St. Louis,77,30
2014,Corpus Christi,56,26
2014,Detroit,23,30
2014,Honolulu,39,32
2014,Phoenix,96,14
